LSOAN05CD,LSOAN05NM,FID
95MM19S2,Kilfennan 2,563
95SS06S3,Collin Glen 3,564
95TT09S1,Lower Glenshane 1,565
95LL19S1,Magheralin 1,566
95MM20S1,Lisnagelvin 1,567
95SS07S1,Derryaghy 1,568
95TT09S2,Lower Glenshane 2,569
95LL19S2,Magheralin 2,570
95MM20S2,Lisnagelvin 2,571
95MM25S3,Shantallow West 3,572
95SS07S2,Derryaghy 2,573
95SS07S3,Derryaghy 3,574
95SS08S1,Dromara 1,575
95SS08S2,Dromara 2,576
95SS09S1,Drumbo 1,577
95SS09S2,Drumbo 2,578
95SS10S1,Dunmurry 1,579
95SS10S2,Dunmurry 2,580
95SS11S1,Glenavy 1,581
95TT10W1,Maghera,582
95MM25S4,Shantallow West 4,583
95MM21S1,New Buildings 1,584
95LL20W1,Mourneview,585
95TT11S1,Swatragh 1,586
95MM26S1,Springtown 1,587
95MM21S2,New Buildings 2,588
95LL21W1,Parklake,589
95TT11S2,Swatragh 2,590
95MM26S2,Springtown 2,591
95MM22S1,Pennyburn 1,592
95LL22W1,Taghnevan,593
95TT12W1,Tobermore,594
95MM27S1,Strand 1 Derry,595
95MM22S2,Pennyburn 2,596
95LL23W1,Tavanagh,597
95MM27S2,Strand 2 Derry,598
95MM23W1,Rosemount,599
95LL24S1,The Birches 1,600
95MM28W1,The Diamond,601
95MM24W1,Shantallow East,602
95LL24S2,The Birches 2,603
95MM29W1,Victoria Derry,604
95MM25S1,Shantallow West 1,605
95LL25S1,Waringstown 1,606
95MM30W1,Westland,607
95MM25S2,Shantallow West 2,608
95LL25S2,Waringstown 2,609
95NN01S1,Ardglass 1,610
95NN01S2,Ardglass 2,611
95NN02W1,Audley's Acre,612
95NN03S1,Ballymaglave 1,613
95NN03S2,Ballymaglave 2,614
95NN04W1,Ballymote,615
95NN05W1,Ballynahinch East,616
95NN06S1,Castlewellan 1,617
95NN06S2,Castlewellan 2,618
95NN07S1,Cathedral 1,619
95NN07S2,Cathedral 2,620
95NN08S1,Crossgar 1,621
95NN08S2,Crossgar 2,622
95NN09S1,Derryboy 1,623
95NN09S2,Derryboy 2,624
95NN10S1,Donard 1,625
95NN10S2,Donard 2,626
95NN11S1,Drumaness 1,627
95NN11S2,Drumaness 2,628
95NN12W1,Dundrum,629
95NN13W1,Dunmore,630
95NN14S1,Killough 1,631
95NN14S2,Killough 2,632
95NN15W1,Killyleagh,633
95NN16S1,Kilmore 1,634
95NN16S2,Kilmore 2,635
95NN17W1,Murlough,636
95NN18S1,Quoile 1,637
95NN18S2,Quoile 2,638
95NN19S1,Saintfield 1,639
95NN19S2,Saintfield 2,640
95NN20W1,Seaforde,641
95NN21W1,Shimna,642
95NN22W1,Strangford,643
95NN23S1,Tollymore 1,644
95NN23S2,Tollymore 2,645
95OO01W1,Altmore,646
95OO02W1,Augher,647
95OO03W1,Aughnacloy,648
95OO04W1,Ballygawley,649
95OO05W1,Ballysaggart,650
95OO06W1,Benburb,651
95OO07W1,Caledon,652
95OO08W1,Castlecaulfield,653
95OO09W1,Clogher,654
95OO10W1,Coalisland North,655
95OO11W1,Coalisland South,656
95OO12W1,Coalisland West and Newmills,657
95OO13W1,Coolhill,658
95OO14W1,Donaghmore,659
95OO15W1,Drumglass,660
95OO16W1,Fivemiletown,661
95OO17W1,Killyman,662
95OO18W1,Killymeal,663
95OO19W1,Moy,664
95OO20W1,Moygashel,665
95OO21W1,Mullaghmore,666
95OO22W1,Washing Bay,667
95PP01W1,Ballinamallard,668
95PP02W1,Belcoo and Garrison,669
95PP03W1,Belleek and Boa,670
95PP04W1,Boho Cleenish and Letterbreen,671
95PP05W1,Brookeborough,672
95PP06S1,Castlecoole 1,673
95PP06S2,Castlecoole 2,674
95PP07W1,Derrygonnelly,675
95PP08W1,Derrylin,676
95PP09W1,Devenish,677
95PP10W1,Donagh,678
95PP11W1,Erne,679
95PP12W1,Florence Court and Kinawley,680
95PP13W1,Irvinestown,681
95PP14S1,Kesh Ederney and Lack 1,682
95PP14S2,Kesh Ederney and Lack 2,683
95PP15W1,Lisbellaw,684
95PP16W1,Lisnarrick,685
95PP17W1,Lisnaskea,686
95PP18W1,Maquires Bridge,687
95PP19W1,Newtownbutler,688
95PP20W1,Portora,689
95PP21W1,Rosslea,690
95PP22W1,Rossorry,691
95PP23W1,Tempo,692
95QQ01W1,Antiville,693
95QQ02W1,Ballycarry,694
95QQ03W1,Ballyloran,695
95QQ04W1,Blackcave,696
95QQ05W1,Carncastle,697
95QQ06W1,Carnlough,698
95QQ07W1,Central Larne,699
95QQ08W1,Craigy Hill,700
95VV24S1,Seaview 1,701
95TT13S1,Town Parks East 1,702
95VV24S2,Seaview 2,703
95VV25S1,Silver Bridge 1,704
95VV25S2,Silver Bridge 2,705
95VV26W1,Spelga,706
95VV27W1,St Mary's,707
95VV28S1,St Patrick's 1,708
95VV28S2,St Patrick's 2,709
95VV29W1,Tullyhappy,710
95VV30S1,Windsor Hill 1,711
95VV30S2,Windsor Hill 2,712
95WW01S1,Abbey 1,713
95WW01S2,Abbey 2,714
95TT13S2,Town Parks East 2,715
95WW02S1,Ballyclare North 1,716
95TT14W1,Town Parks West,717
95WW02S2,Ballyclare North 2,718
95TT15W1,Upperlands,719
95WW03S1,Ballyclare South 1,720
95TT16W1,Valley,721
95WW03S2,Ballyclare South 2,722
95UU06W1,Dalriada,723
95WW04S1,Ballyduff 1,724
95UU09W1,Glenariff,725
95WW04S2,Ballyduff 2,726
95UU14W1,Knocklayd,727
95WW05S1,Ballyhenry 1,728
95UU99C1,Armoy & Moss-side and Moyarget,729
95WW05S2,Ballyhenry 2,730
95UU99C2,Ballylough & Bushmills,731
95WW06S1,Ballynure 1,732
95UU99C3,Bonamargy and Rathlin & Glenshesk,733
95WW06S2,Ballynure 2,734
95UU99C4,Carnmoon & Dunseverick,735
95WW07S1,Ballyrobert 1,736
95UU99C5,Glenaan & Glendun,737
95WW07S2,Ballyrobert 2,738
95UU99C6,Glentaisie & Kinbane,739
95WW08S1,Burnthill 1,740
95VV01S1,Annalong 1,741
95WW08S2,Burnthill 2,742
95VV01S2,Annalong 2,743
95WW09S1,Carnmoney 1,744
95VV02W1,Ballybot,745
95WW09S2,Carnmoney 2,746
